,Average interarrival time,Average service time teller1,Average service time teller 2,Utilization teller 1,Utilization teller 2,People who had to wait in line,Total average wait time,Lost Customers
0,2.965449265472475,1.1303867741461608,1.6543324406753348,0.20235782643241237,0.25482908394801307,12.0,10.926216956098504,0.0
1,2.4331614910606634,1.3442985926004911,1.631091398005259,0.2901970268109998,0.3114798809626187,17.0,12.588235391065094,0.0
2,3.158831612235552,1.5993009900138178,1.1704974193539388,0.21317688727813058,0.20965192202071953,5.0,4.278194687098079,0.0
3,2.6125945831599817,0.9516297279760275,1.5531955064228586,0.18608270434023466,0.2778655664118051,4.0,3.8351387829762302,0.0
4,2.9660759478445042,1.3679944037732157,2.2013583391363216,0.26192374182102945,0.32069449243392284,11.0,8.081164337507396,0.0
5,3.2827377847874364,0.9547393575056509,1.7762603129581567,0.12969727520964672,0.29248169444312855,3.0,1.5586743930942148,0.0
6,2.8899469534487534,1.010980377697819,1.494583754308243,0.18740711841206115,0.23395627431161142,4.0,4.473754427309103,0.0
7,2.8133713289729134,1.1073066480562093,1.7344588840374242,0.22425311217214972,0.25807206771164176,6.0,1.897505381640471,0.0
8,2.942688561485065,1.337119779561746,1.6007612680972507,0.21611094716378945,0.2786234750285929,7.0,8.338618451959727,0.0
9,2.9177733581806167,1.2393078952763878,1.329949362677087,0.22248516206991956,0.21162592635344046,7.0,2.139404999598721,0.0
10,3.1719651482228763,1.112346607684215,1.517993965938201,0.1845687312547219,0.2266890522873501,11.0,6.109272792169108,0.0
11,3.041509220819334,1.2676425382643914,1.8366644978468434,0.19276110357783013,0.3170297347018529,6.0,6.906662027397232,0.0
12,3.158831612235552,1.5993009900138178,1.1704974193539388,0.21317688727813058,0.20965192202071953,5.0,4.278194687098079,0.0
13,3.121510603462837,1.113771055864976,1.5906540967056901,0.19212584944279434,0.2286569337940987,6.0,4.428437530484754,0.0
14,3.1920086391376654,1.3898346581990462,1.833247648956122,0.2578089563884221,0.22670690137647462,4.0,2.7068294737335634,0.0
15,2.698289167790023,1.4404479131128907,1.461230821989645,0.2519233092730121,0.2798969457292299,6.0,2.52851675719981,0.0
16,3.0089615307293833,1.1896291824964274,1.495406299611151,0.21964558025662037,0.21474625357697052,2.0,0.3593917488518912,0.0
17,3.0513491558447834,0.9667567655396915,1.4212948874667954,0.152398895669237,0.23584419358151382,8.0,5.608322697682247,0.0
18,3.121510603462837,1.113771055864976,1.5906540967056901,0.19212584944279434,0.2286569337940987,6.0,4.428437530484754,0.0
19,2.9177733581806167,1.2393078952763878,1.329949362677087,0.22248516206991956,0.21162592635344046,7.0,2.139404999598721,0.0
20,3.239699211749953,1.1825751091974237,1.5337459506289428,0.18494661062573772,0.22724271859307224,6.0,3.2682111567528835,0.0
21,2.337941891079892,0.9652415917626579,1.368537012874214,0.24450904240464608,0.23869037163458012,18.0,17.720239067939357,0.0
22,3.3970062527932976,1.1694477683184838,1.8262286308936322,0.2055987369448275,0.20906644565087762,5.0,6.319915056074251,0.0
23,2.878819786604331,1.2976422889650625,1.8655199854703906,0.25757426111178844,0.2700064788921187,10.0,14.443470116496158,0.0
24,2.765892923518412,1.4336924352357119,1.6063739676707363,0.2561945185570312,0.2870519472346178,8.0,5.81476415041714,0.0
25,2.8133713289729134,1.1073066480562093,1.7344588840374242,0.22425311217214972,0.25807206771164176,6.0,1.897505381640471,0.0
26,2.965449265472475,1.1303867741461608,1.6543324406753348,0.20235782643241237,0.25482908394801307,12.0,10.926216956098504,0.0
27,2.337941891079892,0.9652415917626579,1.368537012874214,0.24450904240464608,0.23869037163458012,18.0,17.720239067939357,0.0
28,3.2827377847874364,0.9547393575056509,1.7762603129581567,0.12969727520964672,0.29248169444312855,3.0,1.5586743930942148,0.0
29,3.0513491558447834,0.9667567655396915,1.4212948874667954,0.152398895669237,0.23584419358151382,8.0,5.608322697682247,0.0
30,2.984775526345218,0.7892020680371171,1.3182222507060994,0.12742611385175046,0.22348488767785432,2.0,1.2318926418976588,0.0
31,3.121510603462837,1.113771055864976,1.5906540967056901,0.19212584944279434,0.2286569337940987,6.0,4.428437530484754,0.0
32,3.1920086391376654,1.3898346581990462,1.833247648956122,0.2578089563884221,0.22670690137647462,4.0,2.7068294737335634,0.0
33,2.8409909117284484,1.2943993190947516,1.6839831235473355,0.21995228049766444,0.29977907433147966,10.0,13.469445153767346,0.0
34,2.5216556068007905,0.9762818799089809,1.5030468006195328,0.2056782644318563,0.2731921236294243,11.0,6.673734509130149,0.0
35,3.2827377847874364,0.9547393575056509,1.7762603129581567,0.12969727520964672,0.29248169444312855,3.0,1.5586743930942148,0.0
36,3.011571402098243,1.5827356389265932,1.6145028053477377,0.23649814081138384,0.28815363875144806,7.0,2.8904670956085,0.0
37,2.839462187951636,1.2101862992418775,1.8553684815719445,0.24067914157287068,0.27674364706853616,9.0,7.935223107075885,0.0
38,3.1719651482228763,1.112346607684215,1.517993965938201,0.1845687312547219,0.2266890522873501,11.0,6.109272792169108,0.0
39,3.410668517015696,1.2604494456998188,1.90599139621815,0.18738294976736666,0.267609786671365,11.0,20.03267370398774,0.0
40,3.1748174211565905,1.2582430560540945,1.3901617910850996,0.17730097029714972,0.23622010452877407,4.0,3.243848620383517,0.0
41,2.9927350387337195,1.3031696847155476,2.04418146858528,0.23116183690480804,0.3204422380348985,12.0,34.179356393620054,0.0
42,2.641009869718846,1.176935316137169,1.4456116482810533,0.23016486902295288,0.26466279763722855,13.0,7.068311240543714,0.0
43,3.2827377847874364,0.9547393575056509,1.7762603129581567,0.12969727520964672,0.29248169444312855,3.0,1.5586743930942148,0.0
44,2.763342323747386,1.1841703678829791,1.252142876705626,0.24348198443555938,0.1905189811429019,9.0,6.241724022052708,0.0
45,3.1719651482228763,1.112346607684215,1.517993965938201,0.1845687312547219,0.2266890522873501,11.0,6.109272792169108,0.0
46,3.4783374274692727,0.9419576534168775,1.8746831393476506,0.15306474966427214,0.2265192268929682,10.0,8.149273337943079,0.0
47,2.9660759478445042,1.3679944037732157,2.2013583391363216,0.26192374182102945,0.32069449243392284,11.0,8.081164337507396,0.0
48,2.4952126055061044,1.306111105982665,1.9598453473741393,0.2563821163907653,0.296544514527737,24.0,59.229878115019964,12.0
49,2.792236662232158,0.9709724217739382,1.7726311163965163,0.19813093938424897,0.26574811517813113,4.0,0.785958121149207,0.0
50,2.913580473776391,1.186907926793782,1.728380604308133,0.18650716327398317,0.32162276966328984,10.0,8.612679866608985,0.0
51,2.965495259588982,1.4273181646258624,1.4697432150239085,0.24956738601529574,0.23862932785977478,10.0,6.976014052688832,0.0
52,2.8860467169561033,1.1527980204778852,1.5330037801102157,0.21616668931863833,0.23746769668546505,5.0,1.5431176515574165,0.0
53,2.9651939560861975,1.1407183813313488,1.295664092884071,0.20422493674358788,0.19420338651591942,3.0,2.0624954225069416,0.0
54,3.097016337861278,1.2930058750625855,1.8010687393777014,0.2087502508875208,0.2833190558597358,11.0,7.745494684670668,0.0
55,2.8259136862506233,1.3312559030357525,1.8695948335632555,0.24385766136482154,0.3113362370981857,10.0,4.584402205098378,0.0
56,2.982144739512673,1.0695087544269941,1.336071304789682,0.18369234720349267,0.21308440833888312,13.0,9.45807965252228,0.0
57,2.831984363501718,1.1920978165781064,1.6813833275238932,0.19808979704528007,0.31431816010128655,5.0,3.681742526470039,0.0
58,3.1748174211565905,1.2582430560540945,1.3901617910850996,0.17730097029714972,0.23622010452877407,4.0,3.243848620383517,0.0
59,3.0835033012802975,1.0997888182437794,1.6742472292068464,0.20119767411471617,0.22971772590896516,6.0,2.207109766999821,0.0
60,3.221437645007127,1.0216205613320202,1.4450194252669528,0.1669115132845668,0.206575307516449,6.0,2.7124599404745893,0.0
61,2.8988234146124623,1.3845742504733127,1.3599053627882611,0.28197621565465325,0.18651886899958914,7.0,8.801377791766377,0.0
62,3.045987004434141,0.982480152725197,1.5709581406183883,0.1592330652894514,0.24808075349090575,10.0,5.8688763031281574,0.0
63,3.0206698098436524,1.1333574234437722,1.5548874549908853,0.2177090474415501,0.20971264875882825,8.0,3.121934681315757,0.0
64,2.9001529812196596,1.0169528857967949,1.646499713762571,0.18588935046097171,0.26676402831810536,8.0,13.884368488766938,0.0
65,2.913580473776391,1.186907926793782,1.728380604308133,0.18650716327398317,0.32162276966328984,10.0,8.612679866608985,0.0
66,2.982144739512673,1.0695087544269941,1.336071304789682,0.18369234720349267,0.21308440833888312,13.0,9.45807965252228,0.0
67,2.79982192875382,1.0725605184758378,1.2684601852259894,0.18933922649969703,0.22392141625504158,12.0,5.420576558750291,0.0
68,3.1714688215489573,1.2166033456948586,1.0943505871510664,0.18170943110444435,0.1770708384678974,7.0,5.874860829375557,0.0
69,2.9510196588641366,1.3928194739532072,1.3247182337556407,0.2532570546435964,0.20255328134997128,9.0,6.952924700997844,0.0
70,3.343405484035913,1.1034847485139003,1.6717513307905685,0.17877607376641158,0.2222286812084723,2.0,2.425107912122712,0.0
71,2.7741276908586925,1.4151304295221019,1.4159211784823003,0.25792445966751604,0.24659886832484526,9.0,10.43980096671763,0.0
72,3.1920086391376654,1.3898346581990462,1.833247648956122,0.2578089563884221,0.22670690137647462,4.0,2.7068294737335634,0.0
73,2.8751657548855984,1.5975525171854978,1.4988571174136103,0.27120446009775484,0.26686186509946147,7.0,5.122213297578348,0.0
74,2.3784724734512444,1.245228062282465,1.5782769401943921,0.2976998333377793,0.2797392237421334,16.0,18.00545858196481,0.0
75,2.6125945831599817,0.9516297279760275,1.5531955064228586,0.18608270434023466,0.2778655664118051,4.0,3.8351387829762302,0.0
76,3.041509220819334,1.2676425382643914,1.8366644978468434,0.19276110357783013,0.3170297347018529,6.0,6.906662027397232,0.0
77,2.694559410812604,1.3285738981753132,1.3237147137280418,0.23298341972034278,0.25372490486711985,9.0,8.915232313898144,0.0
78,2.698289167790023,1.4404479131128907,1.461230821989645,0.2519233092730121,0.2798969457292299,6.0,2.52851675719981,0.0
79,2.9191742555063396,1.2471877684051713,1.5247037685226545,0.2058987554736108,0.2705925383365835,7.0,5.763527188226451,0.0
80,2.6125945831599817,0.9516297279760275,1.5531955064228586,0.18608270434023466,0.2778655664118051,4.0,3.8351387829762302,0.0
81,2.765892923518412,1.4336924352357119,1.6063739676707363,0.2561945185570312,0.2870519472346178,8.0,5.81476415041714,0.0
82,3.703890614256912,1.536366248907832,1.4904239814705955,0.17334839871751215,0.22822355787577372,1.0,0.7619308058092997,0.0
83,3.1714688215489573,1.2166033456948586,1.0943505871510664,0.18170943110444435,0.1770708384678974,7.0,5.874860829375557,0.0
84,3.3466741006040057,1.3370898599045944,1.3315267975794423,0.18866597881191718,0.20445875695227864,5.0,6.147143231293185,0.0
85,2.839462187951636,1.2101862992418775,1.8553684815719445,0.24067914157287068,0.27674364706853616,9.0,7.935223107075885,0.0
86,3.011571402098243,1.5827356389265932,1.6145028053477377,0.23649814081138384,0.28815363875144806,7.0,2.8904670956085,0.0
87,3.0835033012802975,1.0997888182437794,1.6742472292068464,0.20119767411471617,0.22971772590896516,6.0,2.207109766999821,0.0
88,4.545891271117945,1.0493420043002186,1.5253920430298127,0.1393709057129791,0.13295536227695487,1.0,0.10585931572602192,0.0
89,2.9191742555063396,1.2471877684051713,1.5247037685226545,0.2058987554736108,0.2705925383365835,7.0,5.763527188226451,0.0
90,2.9510196588641366,1.3928194739532072,1.3247182337556407,0.2532570546435964,0.20255328134997128,9.0,6.952924700997844,0.0
91,3.3849125789803804,1.3443847418452186,1.65345612737559,0.20138182396130025,0.24079913068191527,2.0,1.5948178337184373,0.0
92,2.7200410202699183,1.5121133429069078,1.3985801032082812,0.2560959687003903,0.27153120267507513,7.0,3.2764195952332855,0.0
93,3.4783374274692727,0.9419576534168775,1.8746831393476506,0.15306474966427214,0.2265192268929682,10.0,8.149273337943079,0.0
94,3.097016337861278,1.2930058750625855,1.8010687393777014,0.2087502508875208,0.2833190558597358,11.0,7.745494684670668,0.0
95,2.8860467169561033,1.1527980204778852,1.5330037801102157,0.21616668931863833,0.23746769668546505,5.0,1.5431176515574165,0.0
96,3.221437645007127,1.0216205613320202,1.4450194252669528,0.1669115132845668,0.206575307516449,6.0,2.7124599404745893,0.0
97,2.7344236092930037,1.3309150008960877,1.4207982518276367,0.23783201115466462,0.25979849043853703,9.0,13.508770546223976,0.0
98,3.3466741006040057,1.3370898599045944,1.3315267975794423,0.18866597881191718,0.20445875695227864,5.0,6.147143231293185,0.0
99,2.641009869718846,1.176935316137169,1.4456116482810533,0.23016486902295288,0.26466279763722855,13.0,7.068311240543714,0.0
